Driver,LapTime,LapTimeDelta,Compound,Color
GASLY,01:34.2,0,SOFT,#ffff00
LECLERC,,0.364,MEDIUM,#800000
SAINZ,,0.418,MEDIUM,#ff7518
RUSSELL,,0.436,SOFT,#26fae4
VERSTAPPEN,,0.549,MEDIUM,#d40000
STROLL,,0.621,SOFT,#ffff00
HAMILTON,,0.75,SOFT,#5090a0
ALONSO,,0.807,SOFT,#d40000
TSUNODA,,0.835,SOFT,#ff7518
PEREZ,,0.857,MEDIUM,#26fae4
ZHOU,,0.86,SOFT,#00ff00
OCON,,0.958,SOFT,#5090a0
LATIFI,,1.451,SOFT,#ff0783
HULKENBERG,,1.622,SOFT,#ff0783
ALBON,,1.73,SOFT,#00009c
NORRIS,,2.111,MEDIUM,#00ff00
RICCIARDO,,2.209,MEDIUM,#00009c
SCHUMACHER,,2.343,MEDIUM,#ffffff
MAGNUSSEN,,2.611,MEDIUM,#ffffff
BOTTAS,,,SOFT,#800000
