Driver,LapTime,LapTimeDelta,Compound,Color,,,
VERSTAPPEN,01:31.9,0,SOFT,#ffff00,,,
LECLERC,,0.087,SOFT,#d40000,,,
SAINZ,,0.584,SOFT,#d40000,,,
RUSSELL,,0.593,SOFT,#26fae4,,,
ALONSO,,0.941,SOFT,#ff0783,,,
BOTTAS,,1.015,SOFT,#800000,,,
PEREZ,,1.022,SOFT,#ffff00,,,
SCHUMACHER,,1.149,SOFT,#ffffff,,,
HAMILTON,,1.208,SOFT,#26fae4,,,
MAGNUSSEN,,1.247,SOFT,#ffffff,,,
NORRIS,,1.344,SOFT,#ff7518,,,
OCON,,1.424,SOFT,#ff0783,,,
GASLY,,1.685,SOFT,#5090a0,,,
TSUNODA,,1.853,SOFT,#5090a0,,,
ZHOU,,2.017,SOFT,#800000,,,
STROLL,,2.022,SOFT,#00ff00,,,
HULKENBERG,,2.125,SOFT,#00ff00,,,
RICCIARDO,,2.23,SOFT,#ff7518,,,
LATIFI,,2.55,SOFT,#00009c,,,
ALBON,,2.799,SOFT,#00009c,,,
