Driver,LapTime,LapTimeDelta,Compound,Color
VER,01:32.5,0,SOFT,#ffff00
LEC,,0.096,SOFT,#d40000
PER,,0.247,SOFT,#ffff00
RUS,,0.391,SOFT,#26fae4
SAI,,0.509,SOFT,#d40000
HAM,,0.577,SOFT,#26fae4
MAG,,0.893,SOFT,#ffffff
BOT,,1.189,SOFT,#800000
ZHO,,1.336,SOFT,#800000
STR,,1.376,SOFT,#00ff00
NOR,,1.411,SOFT,#ff7518
HUL,,1.427,SOFT,#00ff00
GAS,,1.632,SOFT,#5090a0
MSC,,1.751,SOFT,#ffffff
RIC,,1.834,SOFT,#ff7518
ALO,,2.084,MEDIUM,#ff0783
ALB,,2.324,SOFT,#00009c
OCO,,2.413,MEDIUM,#ff0783
LAT,,3.123,SOFT,#00009c
