Driver,Team,Livery,Color,darkpalette
HAM,MER,#c6c6c6,#00c0bf,#00c0bf
RUS,MER,#c6c6c6,#00c0bf,#00c0bf
VER,RBR,#121f45,#000099,#ffe119
PER,RBR,#121f45,#000099,#ffe119
LEC,FER,#a6051a,#e6194b,#e6194b
SAI,FER,#a6051a,#e6194b,#e6194b
NOR,MCL,#ff8000,#f58231,#f58231
PIA,MCL,#ff8000,#f58231,#f58231
OCO,APN,#fd4bc7,#f032e6,#f032e6
GAS,APN,#fd4bc7,#f032e6,#f032e6
DEV,APT,#00293f,#00293f,#dcbeff
TSU,APT,#00293f,#00293f,#dcbeff
STR,AMR,#00352f,#3cb44b,#3cb44b
ALO,AMR,#00352f,#3cb44b,#3cb44b
ALB,WIL,#041e42,#4363d8,#4363d8
SAR,WIL,#041e42,#4363d8,#4363d8
BOT,ARR,#981e32,#800000,#00ff00
ZHO,ARR,#981e32,#800000,#00ff00
MAG,HAA,#ffffff,#ffffff,#ffffff
HUL,HAA,#ffffff,#ffffff,#ffffff
RIC,APT,#00293f,#00293f,#dcbeff
LAW,APT,#00293f,#00293f,#dcbeff
