team,driver,time,lap,color
McLaren,Ricciardo,2.31,17,#f58231
Ferrari,Sainz,2.33,14,#e6194b
Ferrari,Sainz,2.4,33,#e6194b
Alpine,Ocon,2.46,43,#f032e6
Williams,Latifi,2.47,14,#000075
McLaren,Norris,2.49,24,#f58231
Alpine,Alonso,2.53,42,#f032e6
Ferrari,Leclerc,2.54,31,#e6194b
Ferrari,Sainz,2.58,44,#e6194b
McLaren,Ricciardo,2.58,33,#f58231
AlphaTauri,Tsunoda,2.62,44,#dcbeff
Red Bull,Verstappen,2.62,43,#ffe119
Red Bull,Perez,2.63,33,#ffe119
Williams,Albon,2.7,13,#000075
McLaren,Ricciardo,2.76,44,#f58231
AlphaTauri,Tsunoda,2.77,29,#dcbeff
AlphaTauri,Gasly,2.78,14,#dcbeff
Aston Martin,Stroll,2.8,45,#3cb44b
Ferrari,Leclerc,2.81,46,#e6194b
Williams,Latifi,2.85,32,#000075
Williams,Latifi,2.89,45,#000075
Red Bull,Verstappen,2.92,14,#ffe119
Williams,Albon,3,46,#000075
Aston Martin,Stroll,3.08,18,#3cb44b
Red Bull,Verstappen,3.08,30,#ffe119
Alpine,Alonso,3.09,25,#f032e6
Alfa Romeo,Bottas,3.1,14,#800000
Alfa Romeo,Bottas,3.11,36,#800000
Ferrari,Leclerc,3.14,15,#e6194b
Red Bull,Perez,3.19,15,#ffe119
Red Bull,Perez,3.23,43,#ffe119
Aston Martin,Hulkenberg,3.26,44,#3cb44b
Alfa Romeo,Zhou,3.27,15,#800000
Mercedes,Russell,3.27,33,#42d4f4
Alfa Romeo,Bottas,3.28,45,#800000
Haas,Schumacher,3.3,12,#fffac8
Williams,Albon,3.31,35,#000075
McLaren,Norris,3.38,45,#f58231
Alpine,Alonso,3.39,11,#f032e6
Mercedes,Hamilton,3.45,11,#42d4f4
Mercedes,Russell,3.47,45,#42d4f4
Alpine,Ocon,3.57,30,#f032e6
Haas,Magnussen,3.57,46,#fffac8
Alfa Romeo,Zhou,3.59,37,#800000
Haas,Magnussen,3.63,14,#fffac8
Mercedes,Russell,3.69,15,#42d4f4
Aston Martin,Stroll,3.7,38,#3cb44b
Haas,Schumacher,3.79,35,#fffac8
Haas,Magnussen,3.81,34,#fffac8
Mercedes,Hamilton,3.99,27,#42d4f4
Aston Martin,Hulkenberg,4,37,#3cb44b
Mercedes,Hamilton,4.06,44,#42d4f4
AlphaTauri,Gasly,4.13,32,#dcbeff
AlphaTauri,Tsunoda,4.25,15,#dcbeff
Alfa Romeo,Zhou,4.66,45,#800000
Aston Martin,Hulkenberg,4.88,19,#3cb44b
McLaren,Norris,5.5,41,#f58231
Alpine,Ocon,8.54,14,#f032e6
