Driver,LapTime,LapTimeDelta,Compound,Color
LECLERC,1.37.33.584,0,SOFT,#d40000
SAINZ,,5.598,SOFT,#d40000
HAMILTON,,9.675,SOFT,#26fae4
RUSSELL,,11.211,SOFT,#26fae4
MAGNUSSEN,,14.754,SOFT,#ffffff
BOTTAS,,16.119,SOFT,#800000
OCON,,19.423,SOFT,#ff0783
TSUNODA,,20.386,SOFT,#5090a0
ALONSO,,22.39,SOFT,#ff0783
ZHOU,,23.064,SOFT,#800000
SCHUMACHER,,32.574,SOFT,#ffffff
STROLL,,45.873,SOFT,#00ff00
ALBON,,53.932,SOFT,#00009c
RICCIARDO,,54.975,SOFT,#ff7518
NORRIS,,56.335,SOFT,#ff7518
LATIFI,,61.795,SOFT,#00009c
HULKENBERG,,63.829,SOFT,#00ff00

