driver,laptime,delta,color,tyre
LECLERC,01:30.8,0,#e6194b,soft
VERSTAPPEN,,0.116,#ffe119,hard
BOTTAS,,0.312,#800000,soft
SAINZ,,0.367,#e6194b,soft
GASLY,,0.545,#dcbeff,soft
TSUNODA,,0.733,#dcbeff,soft
PEREZ,,0.791,#ffe119,soft
OCON,,1.254,#f032e6,soft
HAMILTON,,1.592,#00c0bf,soft
ALONSO,,1.609,#f032e6,soft
RICCIARDO,,1.734,#f58231,soft
STROLL,,1.81,#3cb44b,soft
NORRIS,,1.822,#f58231,soft
ZHOU,,1.836,#800000,soft
RUSSELL,,2.067,#00c0bf,soft
HULKENBERG,,2.262,#3cb44b,soft
ALBON,,2.315,#4363d8,soft
LATIFI,,2.757,#4363d8,hard
SCHUMACHER,,3.657,#fffac8,medium
MAGNUSSEN,,,#fffac8,medium
