driver,,,tyre,color,,,
LECLERC,1 30 074,0,soft,#e6194b,,,
VERSTAPPEN,,0.14,medium,#ffe119,,,
SAINZ,,0.246,medium,#e6194b,,,
PEREZ,,0.286,medium,#ffe119,,,
HAMILTON,,0.439,soft,#00c0bf,,,
RUSSELL,,0.59,soft,#00c0bf,,,
NORRIS,,0.661,soft,#f58231,,,
OCON,,0.686,soft,#f032e6,,,
BOTTAS,,0.758,soft,#800000,,,
TSUNODA,,0.812,soft,#dcbeff,,,
ALONSO,,0.87,soft,#f032e6,,,
GASLY,,0.889,soft,#dcbeff,,,
SCHUMACHER,,1.095,soft,#fffac8,,,
STROLL,,1.298,soft,#3cb44b,,,
RICCIARDO,,1.453,medium,#f58231,,,
HULKENBERG,,1.541,soft,#3cb44b,,,
ZHOU,,1.541,soft,#800000,,,
LATIFI,,1.74,soft,#4363d8,,,
ALBON,,1.792,soft,#4363d8,,,
MAGNUSSEN,,2.27,medium,#fffac8,,,
