driver,laptime,delta,color,tyre,,,,,
LECLERC,1 29 735,,#e6194b,SOFT,,,,,
VERSTAPPEN,,0.033,#ffe119,SOFT,,,,,
PEREZ,,0.098,#ffe119,SOFT,,,,,
SAINZ,,0.274,#e6194b,SOFT,,,,,
BOTTAS,,0.295,#800000,SOFT,,,,,
OCON,,0.404,#f032e6,SOFT,,,,,
GASLY,,0.413,#dcbeff,SOFT,,,,,
MAGNUSSEN,,0.527,#fffac8,SOFT,,,,,
ALONSO,,0.561,#f032e6,SOFT,,,,,
TSUNODA,,0.68,#dcbeff,SOFT,,,,,
HAMILTON,,0.972,#00c0bf,SOFT,,,,,
SCHUMACHER,,1.03,#fffac8,SOFT,,,,,
ZHOU,,1.211,#800000,SOFT,,,,,
RUSSELL,,1.248,#00c0bf,SOFT,,,,,
STROLL,,1.332,#3cb44b,SOFT,,,,,
RICCIARDO,,1.451,#f58231,SOFT,,,,,
ALBON,,1.639,#4363d8,SOFT,,,,,
HULKENBERG,,1.689,#3cb44b,SOFT,,,,,
NORRIS,,1.794,#f58231,SOFT,,,,,
LATIFI,,2.257,#4363d8,SOFT,,,,,
