driver,laptime,delta,color,tyre
PEREZ,28.2,,#ffe119,SOFT
LECLERC,,0.025,#e6194b,SOFT
SAINZ,,0.202,#e6194b,SOFT
VERSTAPPEN,,0.261,#ffe119,SOFT
OCON,,0.868,#f032e6,SOFT
RUSSELL,,0.904,#00c0bf,SOFT
ALONSO,,0.947,#f032e6,SOFT
BOTTAS,,0.983,#800000,SOFT
GASLY,,1.054,#dcbeff,SOFT
MAGNUSSEN,,1.388,#fffac8,SOFT
NORRIS,29.651,1.451,#f58231,SOFT
RICCIARDO,29.773,1.573,#f58231,SOFT
ZHOU,29.819,1.619,#800000,SOFT
SCHUMACHER,29.92,1.72,#fffac8,SOFT
STROLL,31.009,2.809,#3cb44b,SOFT
HAMILTON,30.343,2.143,#00c0bf,SOFT
ALBON,30.492,2.292,#4363d8,SOFT
HULKENBERG,30.543,2.343,#3cb44b,SOFT
LATIFI,31.817,3.617,#4363d8,SOFT
TSUNODA,,,#dcbeff,SOFT
